# 2026년 8주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-02-20 17:21:49
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 95
# 정상: 82 / 경고: 2 / 위험: 11 / 확인불가: 0

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-005,좀비 프로세스,GPU Worker,GPU,Worker #3,좀비 프로세스 개수 확인,정상,0,-,정상,medium,2026-02-20T17:21:44.530697
OS-006,로드 애버리지,GPU Worker,GPU,Worker #3,1분 평균 로드 확인,정상,1.08,8.0,정상 범위,medium,2026-02-20T17:21:44.758002
OS-007,열린 파일 수,GPU Worker,GPU,Worker #3,시스템 전체 열린 파일 디스크립터 수,정상,4480,100000개,정상 범위,low,2026-02-20T17:21:44.977278
OS-008,네트워크 연결,GPU Worker,GPU,Worker #3,ESTABLISHED 상태 TCP 연결 수,정상,42,2000개,정상 범위,low,2026-02-20T17:21:45.217266
OS-009,커널 버전,GPU Worker,GPU,Worker #3,현재 커널 버전 정보,정상,5.14.0-611.16.1.el9_7.x86_64,-,정보 수집 완료,info,2026-02-20T17:21:45.437180
K8S-001,노드 상태,Kubernetes,GPU,GPU Cluster,모든 노드 Ready 상태 확인,정상,"gpu-master-01:Ready
gpu-master-02:Ready
gpu-master-03:Ready
gpu-node-01:Ready
gpu-worker-01:Ready
gpu-worker-02:Ready
gpu-worker-03:Ready",-,모두 정상 (7/7),critical,2026-02-20T17:21:45.519052
K8S-002,노드 CPU 사용량,Kubernetes,GPU,GPU Cluster,노드별 CPU 사용률,정상,"gpu-master-01:7
gpu-master-02:6
gpu-master-03:4
gpu-node-01:2
gpu-worker-01:5
gpu-worker-02:6
gpu-worker-03:4",80%,정상 범위,high,2026-02-20T17:21:45.594999
K8S-003,노드 메모리 사용량,Kubernetes,GPU,GPU Cluster,노드별 메모리 사용률,정상,"gpu-master-01:29
gpu-master-02:29
gpu-master-03:27
gpu-node-01:5
gpu-worker-01:22
gpu-worker-02:51
gpu-worker-03:29",80%,정상 범위,high,2026-02-20T17:21:45.672932
K8S-004,Control Plane Pod 상태,Kubernetes,GPU,GPU Cluster,kube-system 네임스페이스 Pod 상태,정상,"calico-kube-controllers-85d77456b8-nzsbs:Running
calico-node-62fc2:Running
calico-node-6dwnd:Running
calico-node-7jrrz:Running
calico-node-8nwsd:Running
calico-node-jlq96:Running
calico-node-x4spl:Run",-,모두 정상 (32/32),critical,2026-02-20T17:21:45.770879
K8S-005,Warning 이벤트,Kubernetes,GPU,GPU Cluster,최근 1시간 이내 Warning 이벤트 수 (현재 상태만 확인),정상,35,50개,정상 범위,medium,2026-02-20T17:21:45.852256
K8S-006,NotReady 노드,Kubernetes,GPU,GPU Cluster,NotReady 상태 노드 수,정상,"0
0",-,정상,critical,2026-02-20T17:21:45.930822
K8S-007,클러스터 버전,Kubernetes,GPU,GPU Cluster,Kubernetes 클러스터 버전,정상,N/A,-,정보 수집 완료,info,2026-02-20T17:21:45.983613
SVC-001,Deployment 상태,Services,GPU,GPU Services,모든 Deployment Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-02-20T17:21:46.123418
SVC-002,StatefulSet 상태,Services,GPU,GPU Services,모든 StatefulSet Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-02-20T17:21:46.210505
SVC-003,DaemonSet 상태,Services,GPU,GPU Services,모든 DaemonSet Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-02-20T17:21:46.294369
SVC-004,Service Endpoints,Services,GPU,GPU Services,Endpoint 없는 Service 수,경고,1,-,주의 필요 (1.0개),medium,2026-02-20T17:21:46.389384
SVC-005,Ingress 상태,Services,GPU,GPU Services,Ingress 리소스 수,정상,17,-,정보 수집 완료,info,2026-02-20T17:21:46.465700
SVC-006,Pod 재시작 과다,Services,GPU,GPU Services,현재 실행 중인 Pod 중 재시작 15회 이상인 Pod 수,정상,0,-,정상,medium,2026-02-20T17:21:46.681912
SVC-007,Pending Pod,Services,GPU,GPU Services,Pending 상태 Pod 수,정상,0,-,정상,high,2026-02-20T17:21:46.749021
SVC-008,Failed Pod,Services,GPU,GPU Services,Failed 상태 Pod 수,정상,0,-,정상,critical,2026-02-20T17:21:46.824008
SVC-009,CronJob 상태,Services,GPU,GPU Services,CronJob 개수,정상,0,-,정보 수집 완료,info,2026-02-20T17:21:46.891595
SVC-010,Failed Job,Services,GPU,GPU Services,Failed 상태 Job 수,정상,0,-,정상,medium,2026-02-20T17:21:46.962893
APP-ARGO-01,ArgoCD Server,ArgoCD,GPU,GPU Apps,ArgoCD 웹 서버 정상 작동 확인,정상,1,1개,정상 (현재 1개),critical,2026-02-20T17:21:47.032131
APP-HBR-01,Harbor Core,Harbor,GPU,GPU Apps,Harbor Core 서비스 상태,정상,1,1개,정상 (현재 1개),critical,2026-02-20T17:21:47.130708
APP-HBR-02,Harbor Registry,Harbor,GPU,GPU Apps,Registry 서비스 상태,정상,1,1개,정상 (현재 1개),critical,2026-02-20T17:21:47.214395
APP-MON-01,Grafana,Monitoring,GPU,GPU Apps,Grafana 대시보드 파드 상태,정상,1,1개,정상 (현재 1개),medium,2026-02-20T17:21:47.287606
APP-ELK-01,Elasticsearch Master,Logging,GPU,GPU Apps,Elasticsearch 마스터 노드 수,위험,0,3개,개수 부족 (현재 0/3),high,2026-02-20T17:21:47.387783
APP-KEY-01,Keycloak,Auth,GPU,GPU Apps,Keycloak 인증 서버 상태,정상,1,1개,정상 (현재 1개),critical,2026-02-20T17:21:47.462507
