# 2026년 9주차 CMP 인프라 정기점검 보고서
# 생성일시: 2026-02-25 09:51:56
# 회사: CMP 인프라
# 담당팀: 클라우드서비스팀
# 총 점검항목: 98
# 정상: 80 / 경고: 3 / 위험: 14 / 확인불가: 1

점검ID,점검항목,카테고리,환경,점검대상,설명,상태,측정값,임계치,결과메시지,중요도,점검시간
OS-009,커널 버전,STG Worker,STG,Worker #3,현재 커널 버전 정보,정상,5.14.0-570.17.1.el9_6.x86_64,-,정보 수집 완료,info,2026-02-25T09:51:42.824401
K8S-001,노드 상태,Kubernetes,STG,STG Cluster,모든 노드 Ready 상태 확인,정상,"master1:Ready
master2:Ready
master3:Ready
worker1:Ready
worker2:Ready
worker3:Ready",-,모두 정상 (6/6),critical,2026-02-25T09:51:43.030327
K8S-002,노드 CPU 사용량,Kubernetes,STG,STG Cluster,노드별 CPU 사용률,정상,"master1:16
master2:12
master3:12
worker1:1
worker2:1
worker3:2",80%,정상 범위,high,2026-02-25T09:51:43.122880
K8S-003,노드 메모리 사용량,Kubernetes,STG,STG Cluster,노드별 메모리 사용률,정상,"master1:77
master2:73
master3:73
worker1:17
worker2:10
worker3:17",80%,정상 범위,high,2026-02-25T09:51:43.205173
K8S-004,Control Plane Pod 상태,Kubernetes,STG,STG Cluster,kube-system 네임스페이스 Pod 상태,정상,"cilium-4l87q:Running
cilium-8xqnl:Running
cilium-9v767:Running
cilium-envoy-f86qj:Running
cilium-envoy-qzfj5:Running
cilium-envoy-rdgm9:Running
cilium-envoy-vbm8c:Running
cilium-envoy-z2t6g:Running
ci",-,모두 정상 (30/30),critical,2026-02-25T09:51:43.318898
K8S-005,Warning 이벤트,Kubernetes,STG,STG Cluster,최근 1시간 이내 Warning 이벤트 수 (현재 상태만 확인),정상,0,50개,정상 범위,medium,2026-02-25T09:51:43.395355
K8S-006,NotReady 노드,Kubernetes,STG,STG Cluster,NotReady 상태 노드 수,정상,"0
0",-,정상,critical,2026-02-25T09:51:43.495284
K8S-007,클러스터 버전,Kubernetes,STG,STG Cluster,Kubernetes 클러스터 버전,정상,N/A,-,정보 수집 완료,info,2026-02-25T09:51:43.552032
SVC-001,Deployment 상태,Services,STG,STG Services,모든 Deployment Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-02-25T09:51:43.627639
SVC-002,StatefulSet 상태,Services,STG,STG Services,모든 StatefulSet Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-02-25T09:51:43.690228
SVC-003,DaemonSet 상태,Services,STG,STG Services,모든 DaemonSet Ready 상태,정상,모두 정상,-,모든 리소스 정상,high,2026-02-25T09:51:43.759449
SVC-004,Service Endpoints,Services,STG,STG Services,Endpoint 없는 Service 수,정상,0,-,정상,medium,2026-02-25T09:51:43.836001
SVC-005,Ingress 상태,Services,STG,STG Services,Ingress 리소스 수,정상,4,-,정보 수집 완료,info,2026-02-25T09:51:43.904358
SVC-006,Pod 재시작 과다,Services,STG,STG Services,현재 실행 중인 Pod 중 재시작 15회 이상인 Pod 수,정상,0,-,정상,medium,2026-02-25T09:51:44.029475
SVC-007,Pending Pod,Services,STG,STG Services,Pending 상태 Pod 수,정상,0,-,정상,high,2026-02-25T09:51:44.145820
SVC-008,Failed Pod,Services,STG,STG Services,Failed 상태 Pod 수,정상,0,-,정상,critical,2026-02-25T09:51:44.213537
SVC-009,CronJob 상태,Services,STG,STG Services,CronJob 개수,정상,0,-,정보 수집 완료,info,2026-02-25T09:51:44.279246
SVC-010,Failed Job,Services,STG,STG Services,Failed 상태 Job 수,정상,0,-,정상,medium,2026-02-25T09:51:44.356966
APP-ARGO-01,ArgoCD Server,ArgoCD,STG,STG Apps,ArgoCD 웹 서버 정상 작동 확인,위험,0,1개,개수 부족 (현재 0/1),critical,2026-02-25T09:51:44.424409
APP-HBR-01,Harbor Core,Harbor,STG,STG Apps,Harbor Core 서비스 상태,위험,0,1개,개수 부족 (현재 0/1),critical,2026-02-25T09:51:44.486689
APP-HBR-02,Harbor Registry,Harbor,STG,STG Apps,Registry 서비스 상태,위험,0,1개,개수 부족 (현재 0/1),critical,2026-02-25T09:51:44.560323
APP-MON-01,Grafana,Monitoring,STG,STG Apps,Grafana 대시보드 파드 상태,위험,0,1개,개수 부족 (현재 0/1),medium,2026-02-25T09:51:44.630511
APP-ELK-01,Elasticsearch Master,Logging,STG,STG Apps,Elasticsearch 마스터 노드 수,위험,0,3개,개수 부족 (현재 0/3),high,2026-02-25T09:51:44.728749
APP-KEY-01,Keycloak,Auth,STG,STG Apps,Keycloak 인증 서버 상태,위험,0,1개,개수 부족 (현재 0/1),critical,2026-02-25T09:51:44.795029
APP-LOKI-01,Loki Gateway,Logging,STG,STG Apps,Loki Gateway 서비스 상태,위험,0,1개,개수 부족 (현재 0/1),high,2026-02-25T09:51:44.863737
APP-LOKI-02,Loki Write/Read,Logging,STG,STG Apps,Loki 읽기/쓰기 노드 상태,위험,0,2개,개수 부족 (현재 0/2),medium,2026-02-25T09:51:44.936356
APP-RABBIT-01,RabbitMQ,Middleware,STG,STG Apps,RabbitMQ 메시지 브로커 상태,위험,0,1개,개수 부족 (현재 0/1),high,2026-02-25T09:51:45.015599
APP-SONAR-01,SonarQube,CICD,STG,STG Apps,SonarQube 서버 상태,위험,0,1개,개수 부족 (현재 0/1),medium,2026-02-25T09:51:45.077580
APP-TRAEFIK-01,Traefik,Ingress,STG,STG Apps,Traefik Ingress Controller 상태,정상,6,1개,정상 (현재 6개),critical,2026-02-25T09:51:45.144855
DB-S1,MySQL 연결,Database,STG,STG DB #1,DB #1 MySQL 포트 연결 확인,위험,연결 불가,-,DB 연결 실패,critical,2026-02-25T09:51:50.150070
DB-S2,MySQL 연결,Database,STG,STG DB #2,DB #2 MySQL 포트 연결 확인,위험,연결 불가,-,DB 연결 실패,critical,2026-02-25T09:51:55.155339
SW-VER-01,Kubernetes 버전,SW Version,STG,scsic-sicmpmst1,Kubelet 버전 확인 (Node 레벨),정상,v1.32.8,-,버전 정보,info,2026-02-25T09:51:55.655825
SW-VER-02,Containerd 버전,SW Version,STG,scsic-sicmpmst1,Containerd 런타임 버전 확인,정상,v2.0.6,-,버전 정보,info,2026-02-25T09:51:55.977642
SW-VER-03,전체 Pod 이미지 현황,SW Version,STG,STG Cluster,클러스터 내 구동 중인 모든 Pod의 이미지 태그 추출,정상,총 46개 이미지 (상세 생략),-,이미지 46개 추출 완료,info,2026-02-25T09:51:56.131985
STG-001,NFS 마운트 상태,Storage,STG,STG Cluster,NFS 마운트 포인트 확인,위험,0,1개,부족 (현재 0/1),critical,2026-02-25T09:51:56.136928
STG-002,NFS 서비스 포트,Storage,STG,STG Cluster,NFS 서비스 포트(2049) 응답 확인,위험,연결 불가,-,포트 연결 실패,critical,2026-02-25T09:51:56.137199
BASTION-STG-NFS,NFS (Bastion),Bastion,STG,Bastion,Bastion NFS 포트 2049 확인,정상,TCP 2049 Open,-,포트 응답 정상,high,2026-02-25T09:51:56.137344
BASTION-STG-RPC,RPC (Bastion),Bastion,STG,Bastion,Bastion RPC 포트 111 확인,정상,TCP 111 Open,-,포트 응답 정상,high,2026-02-25T09:51:56.137542
